PID	Status	Label
-	0	com.microsoft.SyncReporter
791	0	com.apple.duetexpertd
768	0	com.apple.coreservices.useractivityd
96647	0	com.apple.screencaptureui.agent
-	0	com.apple.cvmsCompAgent3600_x86_64_1
-	0	com.apple.netauth.user.auth
721	0	com.apple.ViewBridgeAuxiliary
-	0	com.apple.mbbackgrounduseragent
51683	0	com.apple.mdworker.shared.10000000-0700-0000-0000-000000000000
-	0	com.apple.cvmsCompAgent_x86_64
663	0	com.apple.lsd
20712	-9	com.apple.siri.context.service
-	-9	com.apple.fskit.fskit_agent
17601	-9	com.apple.pluginkit.pkd
-	0	com.apple.CharacterPicker.RemoteGenerationViewService
-	0	com.apple.security.XPCTimeStampingService
-	-9	com.apple.webkit.webpushd
-	-9	com.apple.weatherd
-	-9	com.apple.cache_delete
-	0	com.apple.symptomsd-diag.agent
700	0	com.apple.AMPDeviceDiscoveryAgent
-	0	com.apple.accessibility.dfrhud
1327	0	com.apple.CallHistorySyncHelper
-	-9	com.apple.colorsync.useragent
52201	-9	com.apple.analyticsagent
906	0	application.com.microsoft.Powerpoint.550972114.551081916
18172	-9	com.apple.appleaccountd
20561	-9	com.apple.parsecd
-	-9	com.apple.mlruntimed
671	0	com.apple.Dock.agent
45397	0	com.apple.parsec-fbf
18702	-9	com.apple.dmd
17757	-9	com.apple.transparencyd
-	0	com.apple.usbnotificationagent
18250	-9	com.apple.AppSSOAgent
20899	0	com.apple.mbuseragent
49553	-9	com.apple.security.cloudkeychainproxy3
644	0	com.apple.UserEventAgent-Aqua
49554	-9	com.apple.followupd
2634	0	application.com.microsoft.Excel.550927646.551072727
715	0	com.apple.identityservicesd
703	0	com.apple.telephonyutilities.callservicesd
-	0	com.apple.DwellControl
46320	-9	com.apple.generativeexperiencesd
-	0	com.apple.ScreenTimeSettingsAgent
-	-9	com.apple.XProtect.agent.scan
-	-9	com.apple.storekitagent
36250	0	application.com.superace.updf.mac.552976830.552976846
2004	0	com.apple.security.DiskUnmountWatcher
21892	-9	com.apple.CoreLocationAgent
923	0	application.com.displaylink.DisplayLinkUserAgent.313409705.313409710
-	0	com.apple.StorageManagement.Service
-	0	com.apple.securemessagingagent
-	-9	com.apple.SecureBackupDaemon
-	0	com.apple.security.agent
-	-9	com.apple.backgroundtaskmanagement.agent
52192	-9	com.apple.intelligenceflowd
-	0	com.apple.icloudwebd
-	-9	com.apple.businessservicesd
-	0	com.apple.cfnetwork.AuthBrokerAgent
52188	-9	com.apple.feedbackd
882	0	homebrew.mxcl.postgresql@16
-	0	com.spotify.client.startuphelper
-	0	com.microsoft.OneDriveLauncher
-	0	com.apple.storedownloadd
-	0	com.apple.SpacesTouchBarAgent.app
707	0	com.apple.BTServer.cloudpairing
-	0	us.zoom.updater.login.check
-	0	com.apple.managedcorespotlightd
695	0	com.apple.coreservices.sharedfilelistd
655	0	com.apple.pboard
921	0	application.com.manytricks.Moom.544771093.544771099
37670	0	application.com.apple.TextEdit.1152921500311907962.1152921500311907967
34298	0	application.us.zoom.xos.523897001.523897006
-	0	com.apple.nowplayingtouchui
